iter	Passed	Remaining
730	857	315
731	858	314
732	859	313
733	860	311
734	861	310
735	862	309
736	863	308
737	864	306
738	864	305
739	866	304
740	867	303
741	868	301
742	868	300
743	869	299
744	870	297
745	871	296
746	872	295
747	872	294
748	873	292
749	874	291
750	875	290
751	877	289
752	878	288
753	878	286
754	880	285
755	881	284
756	882	283
757	883	282
758	884	280
759	885	279
760	886	278
761	887	277
762	888	275
763	889	274
764	889	273
765	891	272
766	892	271
767	893	269
768	894	268
769	895	267
770	895	266
771	896	264
772	897	263
773	898	262
774	899	261
775	900	259
776	901	258
777	901	257
778	902	256
779	903	254
780	904	253
781	904	252
782	905	251
783	906	249
784	907	248
785	908	247
786	909	246
787	909	244
788	911	243
789	912	242
790	913	241
791	914	240
792	914	238
793	915	237
794	916	236
795	916	235
796	917	233
797	918	232
798	919	231
799	919	229
800	921	228
801	922	227
802	923	226
803	923	225
804	924	224
805	925	222
806	927	221
807	928	220
808	928	219
809	929	218
810	930	216
811	931	215
812	931	214
813	932	213
814	933	211
815	934	210
816	934	209
817	935	208
818	936	206
819	937	205
820	938	204
821	939	203
822	939	202
823	940	200
824	942	199
825	943	198
826	944	197
827	944	196
828	945	195
829	946	193
830	947	192
831	947	191
832	948	190
833	949	188
834	949	187
835	950	186
836	951	185
837	952	184
838	953	182
839	954	181
840	955	180
841	956	179
842	957	178
843	958	177
844	959	175
845	959	174
846	960	173
847	961	172
848	961	171
849	962	169
850	963	168
851	964	167
852	964	166
853	965	165
854	967	164
855	968	162
856	968	161
857	969	160
858	970	159
859	971	158
860	972	157
861	973	155
862	974	154
863	975	153
864	975	152
865	976	151
866	977	149
867	977	148
868	978	147
869	979	146
870	980	145
871	981	144
872	982	142
873	983	141
874	983	140
875	984	139
876	985	138
877	986	137
878	988	136
879	988	134
880	989	133
881	990	132
882	991	131
883	991	130
884	992	128
885	993	127
886	994	126
887	994	125
888	996	124
889	997	123
890	998	122
891	999	121
892	1000	119
893	1002	118
894	1003	117
895	1004	116
896	1005	115
897	1006	114
898	1006	113
899	1007	111
900	1008	110
901	1008	109
902	1009	108
903	1010	107
904	1011	106
905	1013	105
906	1014	103
907	1015	102
908	1017	101
909	1018	100
910	1019	99
911	1020	98
912	1021	97
913	1022	96
914	1023	95
915	1023	93
916	1024	92
917	1026	91
918	1027	90
919	1029	89
920	1029	88
921	1030	87
922	1031	86
923	1032	84
924	1034	83
925	1035	82
926	1036	81
927	1037	80
928	1038	79
929	1038	78
930	1039	77
931	1041	75
932	1042	74
933	1043	73
934	1044	72
935	1045	71
936	1046	70
937	1047	69
938	1049	68
939	1050	67
940	1051	65
941	1052	64
942	1052	63
943	1053	62
944	1055	61
945	1056	60
946	1057	59
947	1058	58
948	1059	56
949	1060	55
950	1062	54
951	1063	53
952	1064	52
953	1065	51
954	1066	50
955	1066	49
956	1068	47
957	1069	46
958	1069	45
959	1070	44
960	1071	43
961	1072	42
962	1073	41
963	1074	40
964	1075	38
965	1076	37
966	1077	36
967	1078	35
968	1079	34
969	1080	33
970	1080	32
971	1081	31
972	1082	30
973	1083	28
974	1084	27
975	1085	26
976	1086	25
977	1087	24
978	1088	23
979	1089	22
980	1090	21
981	1091	20
982	1092	18
983	1093	17
984	1094	16
985	1095	15
986	1096	14
987	1097	13
988	1097	12
989	1098	11
990	1099	9
991	1100	8
992	1101	7
993	1102	6
994	1103	5
995	1105	4
996	1106	3
997	1107	2
998	1108	1
999	1109	0
